State,Year,Quarter,District,RegisteredUser,AppOpens
Andhra Pradesh,2023,Q1 (Jan - Mar),west godavari district,1980446,102965151
Andhra Pradesh,2023,Q1 (Jan - Mar),chittoor district,2755784,164669558
Andhra Pradesh,2023,Q2 (Apr - Jun),east godavari district,3082893,101375784
Andhra Pradesh,2023,Q2 (Apr - Jun),srikakulam district,1317771,48040159
Andhra Pradesh,2023,Q2 (Apr - Jun),visakhapatnam district,3877504,115516314
Andhra Pradesh,2023,Q2 (Apr - Jun),prakasam district,1792637,104288559
Andhra Pradesh,2023,Q2 (Apr - Jun),anantapur district,2323796,164437247
Andhra Pradesh,2023,Q2 (Apr - Jun),kurnool district,2202517,142843895
Andhra Pradesh,2023,Q2 (Apr - Jun),guntur district,3014655,97915941
Andhra Pradesh,2023,Q2 (Apr - Jun),krishna district,3054956,99723659
