State,Year,Quarter,Brands,Count,Percentage
Chhattisgarh,2020,Q4 (Oct - Dec),Motorola,41093,0.009805992028351064
Chhattisgarh,2020,Q4 (Oct - Dec),Lenovo,34335,0.008193335514404735
Chhattisgarh,2020,Q4 (Oct - Dec),Others,301552,0.07195912949001826
Chhattisgarh,2021,Q4 (Oct - Dec),Vivo,1423389,0.2557530966326181
Chhattisgarh,2021,Q4 (Oct - Dec),Xiaomi,1243356,0.2234049491858835
Chhattisgarh,2021,Q4 (Oct - Dec),Samsung,821562,0.14761742965253138
Chhattisgarh,2021,Q4 (Oct - Dec),Oppo,651316,0.11702780047223232
Chhattisgarh,2021,Q4 (Oct - Dec),Realme,551719,0.09913231219368102
Chhattisgarh,2021,Q4 (Oct - Dec),Micromax,262792,0.04721820090662424
Chhattisgarh,2021,Q4 (Oct - Dec),OnePlus,87470,0.015716521177594533
Chhattisgarh,2021,Q4 (Oct - Dec),Apple,87360,0.015696756488792252
Chhattisgarh,2021,Q4 (Oct - Dec),Infinix,47609,0.008554336992615732
Chhattisgarh,2021,Q4 (Oct - Dec),Tecno,44668,0.00802590108563842
Chhattisgarh,2021,Q4 (Oct - Dec),Others,344240,0.06185269521178852
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Xiaomi,28477,0.24441469045841166
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Vivo,22409,0.19233377106024324
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Samsung,21520,0.18470359021894928
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Oppo,12699,0.10899400056647011
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Realme,6489,0.0556943121250354
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Lenovo,2931,0.02515642299868682
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Motorola,2811,0.02412647732832093
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Apple,2546,0.021852013972929595
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Huawei,2029,0.017414664709769892
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),OnePlus,1795,0.015406270652556411
Dadra And Nagar Haveli And Daman And Diu,2018,Q4 (Oct - Dec),Others,12805,0.10990378590862665
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Xiaomi,48012,0.2429781677952206
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Vivo,42886,0.21703660968228422
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Samsung,35031,0.17728418303828986
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Oppo,23415,0.11849816293687183
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Realme,12044,0.0609520339274689
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Apple,3874,0.01960546159374083
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Motorola,3849,0.019478942094555612
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Lenovo,3794,0.01920059919634814
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),Huawei,3405,0.017231955789026206
Dadra And Nagar Haveli And Daman And Diu,2019,Q4 (Oct - Dec),OnePlus,2529,0.012798712537576291
